location,metric,count
St. Louis,Total,58860
St. Louis,Total - Neutral,24327
St. Louis,Total - Negative,16044
St. Louis,Total - Positive,14149
St. Louis,Feb,26794
St. Louis,Feb - Neutral,11004
St. Louis,Feb - Negative,7258
St. Louis,Feb - Positive,6540
St. Louis,Mar,32066
St. Louis,Mar - Neutral,13323
St. Louis,Mar - Negative,8786
St. Louis,Mar - Positive,7609
St. Louis,Feb 01 - Feb 07 2023,6935
St. Louis,Feb 01 - Feb 07 2023 - Neutral,2825
St. Louis,Feb 01 - Feb 07 2023 - Negative,1930
St. Louis,Feb 01 - Feb 07 2023 - Positive,1659
St. Louis,Feb 08 - Feb 14 2023,6777
St. Louis,Feb 08 - Feb 14 2023 - Neutral,2782
St. Louis,Feb 08 - Feb 14 2023 - Negative,1774
St. Louis,Feb 08 - Feb 14 2023 - Positive,1691
St. Louis,Feb 15 - Feb 21 2023,6024
St. Louis,Feb 15 - Feb 21 2023 - Neutral,2466
St. Louis,Feb 15 - Feb 21 2023 - Negative,1631
St. Louis,Feb 15 - Feb 21 2023 - Positive,1472
St. Louis,Feb 22 - Feb 28 2023,7058
St. Louis,Feb 22 - Feb 28 2023 - Neutral,2931
St. Louis,Feb 22 - Feb 28 2023 - Negative,1923
St. Louis,Feb 22 - Feb 28 2023 - Positive,1718
St. Louis,Mar 01 - Mar 07 2023,7571
St. Louis,Mar 01 - Mar 07 2023 - Neutral,3042
St. Louis,Mar 01 - Mar 07 2023 - Negative,1906
St. Louis,Mar 01 - Mar 07 2023 - Positive,1969
St. Louis,Mar 08 - Mar 14 2023,6468
St. Louis,Mar 08 - Mar 14 2023 - Neutral,2688
St. Louis,Mar 08 - Mar 14 2023 - Negative,1876
St. Louis,Mar 08 - Mar 14 2023 - Positive,1502
St. Louis,Mar 15 - Mar 21 2023,6984
St. Louis,Mar 15 - Mar 21 2023 - Neutral,2927
St. Louis,Mar 15 - Mar 21 2023 - Negative,1856
St. Louis,Mar 15 - Mar 21 2023 - Positive,1675
St. Louis,Mar 22 - Mar 28 2023,7807
St. Louis,Mar 22 - Mar 28 2023 - Neutral,3291
St. Louis,Mar 22 - Mar 28 2023 - Negative,2212
St. Louis,Mar 22 - Mar 28 2023 - Positive,1771
St. Louis,Mar 29 - Apr 04 2023,3236
St. Louis,Mar 29 - Apr 04 2023 - Neutral,1375
St. Louis,Mar 29 - Apr 04 2023 - Negative,936
St. Louis,Mar 29 - Apr 04 2023 - Positive,692
St. Louis,Feb 01 2023,940
St. Louis,Feb 01 2023 - Neutral,387
St. Louis,Feb 01 2023 - Negative,229
St. Louis,Feb 01 2023 - Positive,263
St. Louis,Feb 02 2023,937
St. Louis,Feb 02 2023 - Neutral,395
St. Louis,Feb 02 2023 - Negative,261
St. Louis,Feb 02 2023 - Positive,186
St. Louis,Feb 03 2023,1251
St. Louis,Feb 03 2023 - Neutral,514
St. Louis,Feb 03 2023 - Negative,362
St. Louis,Feb 03 2023 - Positive,270
St. Louis,Feb 04 2023,917
St. Louis,Feb 04 2023 - Neutral,352
St. Louis,Feb 04 2023 - Negative,246
St. Louis,Feb 04 2023 - Positive,244
St. Louis,Feb 05 2023,988
St. Louis,Feb 05 2023 - Neutral,390
St. Louis,Feb 05 2023 - Negative,288
St. Louis,Feb 05 2023 - Positive,244
St. Louis,Feb 06 2023,893
St. Louis,Feb 06 2023 - Neutral,363
St. Louis,Feb 06 2023 - Negative,274
St. Louis,Feb 06 2023 - Positive,200
St. Louis,Feb 07 2023,1009
St. Louis,Feb 07 2023 - Neutral,424
St. Louis,Feb 07 2023 - Negative,270
St. Louis,Feb 07 2023 - Positive,252
St. Louis,Feb 08 2023,973
St. Louis,Feb 08 2023 - Neutral,397
St. Louis,Feb 08 2023 - Negative,240
St. Louis,Feb 08 2023 - Positive,246
St. Louis,Feb 09 2023,973
St. Louis,Feb 09 2023 - Neutral,402
St. Louis,Feb 09 2023 - Negative,261
St. Louis,Feb 09 2023 - Positive,223
St. Louis,Feb 10 2023,947
St. Louis,Feb 10 2023 - Neutral,380
St. Louis,Feb 10 2023 - Negative,289
St. Louis,Feb 10 2023 - Positive,229
St. Louis,Feb 11 2023,1135
St. Louis,Feb 11 2023 - Neutral,533
St. Louis,Feb 11 2023 - Negative,268
St. Louis,Feb 11 2023 - Positive,256
St. Louis,Feb 12 2023,1087
St. Louis,Feb 12 2023 - Neutral,455
St. Louis,Feb 12 2023 - Negative,279
St. Louis,Feb 12 2023 - Positive,274
St. Louis,Feb 13 2023,783
St. Louis,Feb 13 2023 - Neutral,285
St. Louis,Feb 13 2023 - Negative,205
St. Louis,Feb 13 2023 - Positive,227
St. Louis,Feb 14 2023,879
St. Louis,Feb 14 2023 - Neutral,330
St. Louis,Feb 14 2023 - Negative,232
St. Louis,Feb 14 2023 - Positive,236
St. Louis,Feb 15 2023,829
St. Louis,Feb 15 2023 - Neutral,340
St. Louis,Feb 15 2023 - Negative,239
St. Louis,Feb 15 2023 - Positive,176
St. Louis,Feb 16 2023,874
St. Louis,Feb 16 2023 - Neutral,365
St. Louis,Feb 16 2023 - Negative,232
St. Louis,Feb 16 2023 - Positive,212
St. Louis,Feb 17 2023,901
St. Louis,Feb 17 2023 - Neutral,375
St. Louis,Feb 17 2023 - Negative,221
St. Louis,Feb 17 2023 - Positive,229
St. Louis,Feb 18 2023,892
St. Louis,Feb 18 2023 - Neutral,401
St. Louis,Feb 18 2023 - Negative,200
St. Louis,Feb 18 2023 - Positive,230
St. Louis,Feb 19 2023,810
St. Louis,Feb 19 2023 - Neutral,314
St. Louis,Feb 19 2023 - Negative,221
St. Louis,Feb 19 2023 - Positive,216
St. Louis,Feb 20 2023,816
St. Louis,Feb 20 2023 - Neutral,324
St. Louis,Feb 20 2023 - Negative,237
St. Louis,Feb 20 2023 - Positive,203
St. Louis,Feb 21 2023,902
St. Louis,Feb 21 2023 - Neutral,347
St. Louis,Feb 21 2023 - Negative,281
St. Louis,Feb 21 2023 - Positive,206
St. Louis,Feb 22 2023,817
St. Louis,Feb 22 2023 - Neutral,335
St. Louis,Feb 22 2023 - Negative,237
St. Louis,Feb 22 2023 - Positive,195
St. Louis,Feb 23 2023,927
St. Louis,Feb 23 2023 - Neutral,376
St. Louis,Feb 23 2023 - Negative,236
St. Louis,Feb 23 2023 - Positive,256
St. Louis,Feb 24 2023,932
St. Louis,Feb 24 2023 - Neutral,421
St. Louis,Feb 24 2023 - Negative,227
St. Louis,Feb 24 2023 - Positive,219
St. Louis,Feb 25 2023,1271
St. Louis,Feb 25 2023 - Neutral,555
St. Louis,Feb 25 2023 - Negative,302
St. Louis,Feb 25 2023 - Positive,320
St. Louis,Feb 26 2023,1132
St. Louis,Feb 26 2023 - Neutral,463
St. Louis,Feb 26 2023 - Negative,316
St. Louis,Feb 26 2023 - Positive,275
St. Louis,Feb 27 2023,1054
