metric,Carondelet,Central West End,Cherokee Antique Row,Cherokee Street,Chesterfield,Clayton,Downtown St. Louis,Eureka,Forest Park,Grand Center Arts District,Kimmswick,Kirkwood,Laclede's Landing,Lafayette Square,Maplewood,Maryland Heights,North County,Soulard,South Grand,St. Louis,The Delmar Loop,The Grove,The Hill,The Ville,Washington University in St. Louis,Webster Groves
Total,3,52,0,25,74,32,1455,21,12,0,2,29,0,11,27,39,1,17,5,457,0,9,11,1,0,27
Total - Neutral,3,43,0,23,60,23,1110,15,12,0,2,18,0,11,23,33,0,15,5,339,0,7,8,1,0,18
Total - Negative,0,1,0,0,1,1,20,1,0,0,0,0,0,0,0,0,0,0,0,8,0,0,1,0,0,0
Total - Positive,0,8,0,2,13,8,325,5,0,0,0,11,0,0,4,6,1,2,0,110,0,2,2,0,0,9
Feb,3,51,0,25,69,32,1373,19,12,0,2,28,0,11,27,35,0,15,4,447,0,9,10,1,0,26
Feb - Neutral,3,42,0,23,57,23,1046,14,12,0,2,18,0,11,23,29,0,13,4,330,0,7,7,1,0,18
Feb - Negative,0,1,0,0,1,1,20,1,0,0,0,0,0,0,0,0,0,0,0,8,0,0,1,0,0,0
Feb - Positive,0,8,0,2,11,8,307,4,0,0,0,10,0,0,4,6,0,2,0,109,0,2,2,0,0,8
Mar,0,1,0,0,5,0,82,2,0,0,0,1,0,0,0,4,1,2,1,10,0,0,1,0,0,1
Mar - Neutral,0,1,0,0,3,0,64,1,0,0,0,0,0,0,0,4,0,2,1,9,0,0,1,0,0,0
Mar - Negative,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mar - Positive,0,0,0,0,2,0,18,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1
Feb 01 - Feb 07 2023,2,18,0,4,23,18,717,8,7,0,0,7,0,3,14,18,0,7,1,179,0,5,4,0,0,18
Feb 01 - Feb 07 2023 - Neutral,2,13,0,3,18,14,548,5,7,0,0,5,0,3,13,15,0,7,1,122,0,3,3,0,0,13
Feb 01 - Feb 07 2023 - Negative,0,1,0,0,1,0,9,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0
Feb 01 - Feb 07 2023 - Positive,0,4,0,1,4,4,160,3,0,0,0,2,0,0,1,3,0,0,0,50,0,2,1,0,0,5
Feb 08 - Feb 14 2023,0,13,0,8,14,7,306,5,2,0,2,18,0,3,7,4,0,8,3,124,0,1,2,1,0,3
Feb 08 - Feb 14 2023 - Neutral,0,12,0,8,10,4,231,3,2,0,2,11,0,3,5,3,0,6,3,92,0,1,2,1,0,3
Feb 08 - Feb 14 2023 - Negative,0,0,0,0,0,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Feb 08 - Feb 14 2023 - Positive,0,1,0,0,4,2,72,1,0,0,0,7,0,0,2,1,0,2,0,32,0,0,0,0,0,0
Feb 15 - Feb 21 2023,0,12,0,7,7,0,60,1,3,0,0,1,0,1,3,2,0,0,0,56,0,0,2,0,0,1
Feb 15 - Feb 21 2023 - Neutral,0,10,0,6,7,0,47,1,3,0,0,1,0,1,3,2,0,0,0,44,0,0,1,0,0,1
Feb 15 - Feb 21 2023 - Negative,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
Feb 15 - Feb 21 2023 - Positive,0,2,0,1,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0
Feb 22 - Feb 28 2023,1,8,0,6,25,7,290,5,0,0,0,2,0,4,3,11,0,0,0,88,0,3,2,0,0,4
Feb 22 - Feb 28 2023 - Neutral,1,7,0,6,22,5,220,5,0,0,0,1,0,4,2,9,0,0,0,72,0,3,1,0,0,1
Feb 22 - Feb 28 2023 - Negative,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Feb 22 - Feb 28 2023 - Positive,0,1,0,0,3,2,66,0,0,0,0,1,0,0,1,2,0,0,0,16,0,0,1,0,0,3
Mar 01 - Mar 07 2023,0,1,0,0,5,0,82,2,0,0,0,1,0,0,0,4,1,2,1,10,0,0,1,0,0,1
Mar 01 - Mar 07 2023 - Neutral,0,1,0,0,3,0,64,1,0,0,0,0,0,0,0,4,0,2,1,9,0,0,1,0,0,0
Mar 01 - Mar 07 2023 - Negative,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mar 01 - Mar 07 2023 - Positive,0,0,0,0,2,0,18,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1
Mar 08 - Mar 14 2023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mar 08 - Mar 14 2023 - Neutral,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mar 08 - Mar 14 2023 - Negative,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mar 08 - Mar 14 2023 - Positive,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mar 15 - Mar 21 2023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mar 15 - Mar 21 2023 - Neutral,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mar 15 - Mar 21 2023 - Negative,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
