metric,Carondelet,Central West End,Cherokee Antique Row,Cherokee Street,Chesterfield,Clayton,Downtown St. Louis,Eureka,Forest Park,Grand Center Arts District,Kimmswick,Kirkwood,Laclede's Landing,Lafayette Square,Maplewood,Maryland Heights,North County,Soulard,South Grand,St. Louis,The Delmar Loop,The Grove,The Hill,The Ville,Washington University in St. Louis,Webster Groves
Total,6,71,0,38,2141,1216,2167,208,15,0,3,517,0,14,1783,717,115,35,10,26849,0,20,52,19,0,242
Total - Neutral,3,54,0,28,833,499,1438,86,12,0,2,198,0,11,524,352,41,23,7,11030,0,13,23,3,0,124
Total - Negative,2,5,0,0,478,332,44,39,1,0,0,141,0,0,522,102,7,0,0,7277,0,1,7,0,0,49
Total - Positive,1,12,0,9,658,290,605,59,2,0,1,154,0,3,641,176,65,10,1,6549,0,3,21,0,0,46
Feb,6,70,0,38,2135,1216,2085,206,15,0,3,516,0,14,1782,712,114,33,9,26794,0,20,50,19,0,241
Feb - Neutral,3,53,0,28,830,499,1374,85,12,0,2,198,0,11,524,348,41,21,6,11004,0,13,21,3,0,124
Feb - Negative,2,5,0,0,478,332,44,39,1,0,0,141,0,0,522,102,7,0,0,7258,0,1,7,0,0,49
Feb - Positive,1,12,0,9,655,290,587,58,2,0,1,153,0,3,641,176,64,10,1,6540,0,3,21,0,0,45
Mar,0,1,0,0,6,0,82,2,0,0,0,1,0,0,1,5,1,2,1,55,0,0,2,0,0,1
Mar - Neutral,0,1,0,0,3,0,64,1,0,0,0,0,0,0,0,4,0,2,1,26,0,0,2,0,0,0
Mar - Negative,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0
Mar - Positive,0,0,0,0,3,0,18,1,0,0,0,1,0,0,0,0,1,0,0,9,0,0,0,0,0,1
Feb 01 - Feb 07 2023,3,24,0,6,500,308,831,61,8,0,1,152,0,4,426,281,36,7,3,6935,0,9,12,3,0,96
Feb 01 - Feb 07 2023 - Neutral,2,16,0,4,209,133,607,25,7,0,0,63,0,3,146,148,11,7,2,2825,0,5,8,0,0,48
Feb 01 - Feb 07 2023 - Negative,0,4,0,0,126,83,14,10,0,0,0,43,0,0,119,35,1,0,0,1930,0,0,0,0,0,21
Feb 01 - Feb 07 2023 - Positive,1,4,0,2,127,72,196,19,1,0,1,42,0,1,132,55,23,0,0,1659,0,2,4,0,0,19
Feb 08 - Feb 14 2023,0,17,0,12,575,334,493,52,2,0,2,168,0,4,513,192,30,12,4,6777,0,3,11,7,0,76
Feb 08 - Feb 14 2023 - Neutral,0,15,0,10,218,137,310,24,2,0,2,67,0,3,147,105,14,8,3,2782,0,2,5,1,0,51
Feb 08 - Feb 14 2023 - Negative,0,0,0,0,137,85,8,11,0,0,0,46,0,0,128,27,0,0,0,1774,0,0,1,0,0,16
Feb 08 - Feb 14 2023 - Positive,0,2,0,2,179,74,154,13,0,0,0,46,0,1,206,42,16,4,0,1691,0,0,5,0,0,9
Feb 15 - Feb 21 2023,0,17,0,9,550,321,332,44,5,0,0,93,0,2,454,118,14,5,2,6024,0,3,11,6,0,31
Feb 15 - Feb 21 2023 - Neutral,0,13,0,7,197,135,171,15,3,0,0,33,0,1,120,43,3,2,1,2466,0,1,3,2,0,15
Feb 15 - Feb 21 2023 - Negative,0,0,0,0,126,98,10,13,1,0,0,22,0,0,128,17,1,0,0,1631,0,1,3,0,0,3
Feb 15 - Feb 21 2023 - Positive,0,4,0,2,188,77,117,11,1,0,0,35,0,1,188,45,9,2,1,1472,0,1,5,0,0,6
Feb 22 - Feb 28 2023,3,12,0,11,510,253,429,49,0,0,0,103,0,4,389,121,34,9,0,7058,0,5,16,3,0,38
Feb 22 - Feb 28 2023 - Neutral,1,9,0,7,206,94,286,21,0,0,0,35,0,4,111,52,13,4,0,2931,0,5,5,0,0,10
Feb 22 - Feb 28 2023 - Negative,2,1,0,0,89,66,12,5,0,0,0,30,0,0,147,23,5,0,0,1923,0,0,3,0,0,9
Feb 22 - Feb 28 2023 - Positive,0,2,0,3,161,67,120,15,0,0,0,30,0,0,115,34,16,4,0,1718,0,0,7,0,0,11
Mar 01 - Mar 07 2023,0,1,0,0,6,0,82,2,0,0,0,1,0,0,1,5,1,2,1,55,0,0,2,0,0,1
Mar 01 - Mar 07 2023 - Neutral,0,1,0,0,3,0,64,1,0,0,0,0,0,0,0,4,0,2,1,26,0,0,2,0,0,0
Mar 01 - Mar 07 2023 - Negative,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0
Mar 01 - Mar 07 2023 - Positive,0,0,0,0,3,0,18,1,0,0,0,1,0,0,0,0,1,0,0,9,0,0,0,0,0,1
Mar 08 - Mar 14 2023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mar 08 - Mar 14 2023 - Neutral,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mar 08 - Mar 14 2023 - Negative,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mar 08 - Mar 14 2023 - Positive,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mar 15 - Mar 21 2023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mar 15 - Mar 21 2023 - Neutral,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mar 15 - Mar 21 2023 - Negative,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
