"local_date","hometime","disttravelled","rog","maxdiam","maxhomedist","siglocsvisited","avgflightlen","stdflightlen","avgflightdur","stdflightdur","probpause","siglocentropy","minsmissing","circdnrtn","wkenddayrtn","minutes_data_used"
"2023-02-13",228.595733332634,16849.4270371682,1451.95484025495,3289.36281527599,3284.88972457838,2,168.494270371682,207.76002908433,69.7,25.9935889531759,0.847302302707424,0.692615868840639,760.429066665967,0.51025641025641,0.583916083916084,666
"2023-02-14",697.166666666667,39212.9174210167,2097.16790438225,8480.37274290671,8476.20481799048,4,270.433913248391,433.912435998529,63.5172413793103,29.2387450920758,0.893402777777778,0.936394800512493,1440,0.620575666163901,0.664421362950775,1240
"2023-02-15",1037,15393.0128371519,1391.7444182169,3370.340762015,3303.22122407052,2,167.315356925564,260.995793727083,57.3913043478261,22.7199658149309,0.938888888888889,0.391943450324092,1440,0.769645550527904,0.799516659810777,1237
"2023-02-16",869,28486.8605716694,1475.94030768926,3216.17572488419,3210.6605641239,2,202.034472139499,219.967441229262,65.531914893617,30.3885676791899,0.893055555555556,0.613024669232209,1440,0.708182503770739,0.753582202111614,1243
"2023-02-17",1063.2376000007,33730.7555347038,722.140641004293,2224.35334868847,2056.27339971128,2,191.652020083545,196.180513376626,56.5909090909091,29.0176838156662,0.884741239917692,0.444548480861917,1439.83333333333,0.731460532931121,0.690627999451529,1247
"2023-02-18",826.762399999301,105300.083097806,834.406627849511,4443.52490005413,3408.41706394722,1,183.769778530202,168.095050259367,55.7940663176265,28.4618410911222,0.630386438435451,0,1439.5,0.70253896430367,0.916666666666667,1233
"2023-02-19",1440,0,0,0,10.1016943214159,1,0,0,0,0,1,0,1440,0.748127199597788,0.958333333333333,1278
"2023-02-20",882,45186.5032524155,1348.7712940983,3397.89054514755,3298.35946801418,2,193.104714753912,192.8534054017,69.4871794871795,30.5555472186362,0.811805555555556,0.126167489784712,1440,0.767295123177476,0.796311531605649,1259
"2023-02-21",456,72810.6949237192,1471.58596777911,3580.42017915994,3465.336256329,2,166.997006705778,137.106147049214,67.4311926605505,28.8684266849433,0.659722222222222,0.684287219049362,1440,0.750565610859729,0.796225832990539,1260
"2023-02-22",505,45109.8383905738,1509.71342497386,3405.87017207895,3294.77178377075,2,107.91827366166,142.756032732208,63.0143540669856,24.219317352787,0.695138888888889,0.510251821089498,1439.83333333333,0.684879336349925,0.70665364047717,1235
"2023-02-23",624,57324.6706370654,1436.06483340316,3572.33712268205,3461.31003212283,2,174.239120477402,156.890523292529,70.0303951367781,30.5588045697739,0.733333333333333,0.62650724945982,1439.5,0.76167672197084,0.803801590566296,1262
"2023-02-24",1046,14821.7249177751,1260.8340671535,5008.52530568971,4101.70609481919,3,242.979097012707,515.342718739081,65.9016393442623,23.0490093192982,0.953472222222222,0.613251166912638,1438.33333333333,0.650188536953243,0.613893459481695,1255
"2023-02-25",1173,22655.729748648,2479.03507100311,8510.02998512882,8451.88116806056,2,200.493183616354,591.819056184893,65.3097345132743,23.6820756684164,0.914583333333333,0.229296335319903,1439.83333333333,0.705316742081448,0.916666666666667,1232
"2023-02-26",1440,0,9.09494701772928e-13,0,34.4665624805444,1,0,0,0,0,1,0,1440,0.748127199597788,0.958333333333333,1218
"2023-02-27",1033,11056.1261995391,1393.88000750219,3381.96724434614,3294.45658775264,2,335.03412725876,409.419080496176,58.1818181818182,25.6727659026235,0.977777777777778,0.353369357946593,1440,0.749057315233786,0.771441793500617,1158
"2023-02-28",637.404266667366,9238.73049328063,1443.00174311948,3476.09153762379,3469.51034683275,2,188.545520271033,253.306680638193,62.4489795918367,25.7010547971688,0.946507476646532,0.378963853951443,1091.40426666737,0.829166666666667,0.880681818181818,914
