local_segment,local_segment_label,local_segment_start_datetime,local_segment_end_datetime,phone_locations_doryab_varspeed,phone_locations_doryab_maxlengthstayatclusters,phone_locations_doryab_timeattop1location,phone_locations_doryab_normalizedlocationentropy,phone_locations_doryab_timeattop3location,phone_locations_doryab_locationvariance,phone_locations_doryab_movingtostaticratio,phone_locations_doryab_outlierstimepercent,phone_locations_doryab_avgspeed,phone_locations_doryab_avglengthstayatclusters,phone_locations_doryab_homelabel,phone_locations_doryab_locationentropy,phone_locations_doryab_numberlocationtransitions,phone_locations_doryab_totaldistance,phone_locations_doryab_timeathome,phone_locations_doryab_numberofsignificantplaces,phone_locations_doryab_timeattop2location,phone_locations_doryab_minlengthstayatclusters,phone_locations_doryab_minutesdataused,phone_locations_doryab_radiusgyration,phone_locations_doryab_loglocationvariance,phone_locations_doryab_stdlengthstayatclusters
"hour_00#2023-02-14 00:00:00,2023-02-14 01:00:00",hour_00,2023-02-14 00:00:00,2023-02-14 01:00:00,0.0,60.01534999999999,60.01534999999999,-0.0,0.0,0.0,1.0,0.0,0.0,60.01534999999999,1.0,-0.0,0.0,0.0,60.01534999999999,1.0,0.0,60.01534999999999,60.01534999999999,0.0,,0.0
"hour_00#2023-02-15 00:00:00,2023-02-15 01:00:00",hour_00,2023-02-15 00:00:00,2023-02-15 01:00:00,0.0,60.01533333333332,60.01533333333332,-0.0,0.0,8.392083753153598e-11,1.0,0.0,0.0,60.01533333333332,1.0,-0.0,0.0,0.0,60.01533333333332,1.0,0.0,60.01533333333332,60.01533333333332,0.0,-10.076130190525777,0.0
"hour_00#2023-02-16 00:00:00,2023-02-16 01:00:00",hour_00,2023-02-16 00:00:00,2023-02-16 01:00:00,4.127338004729231,59.992166666666655,59.992166666666655,-0.0,0.0,7.147216337987711e-10,0.9996139875365184,0.0,46.960061118001164,59.992166666666655,1.0,-0.0,0.0,18.131801376117117,59.992166666666655,1.0,0.0,59.992166666666655,60.015333333333324,0.0,-9.145863072107266,0.0
"hour_00#2023-02-17 00:00:00,2023-02-17 01:00:00",hour_00,2023-02-17 00:00:00,2023-02-17 01:00:00,0.0,60.01531666666666,60.01531666666666,-0.0,0.0,1.0906011075296151e-11,1.0,0.0,0.0,60.01531666666666,1.0,-0.0,0.0,0.0,60.01531666666666,1.0,0.0,60.01531666666666,60.01531666666666,0.0,-10.962334065613295,0.0
"hour_00#2023-02-18 00:00:00,2023-02-18 01:00:00",hour_00,2023-02-18 00:00:00,2023-02-18 01:00:00,676.2291997485872,28.999166666666664,28.999166666666664,-0.0,0.0,5.150898657602512e-07,0.4831955584720917,0.0,7.481922552746364,28.999166666666664,1.0,-0.0,0.0,3867.682182986683,28.999166666666664,1.0,0.0,28.999166666666664,60.01538333333333,0.0,-6.288116994649993,0.0
"hour_00#2023-02-19 00:00:00,2023-02-19 01:00:00",hour_00,2023-02-19 00:00:00,2023-02-19 01:00:00,0.0,60.01534999999999,60.01534999999999,-0.0,0.0,2.02004489743101e-28,1.0,0.0,0.0,60.01534999999999,1.0,-0.0,0.0,0.0,60.01534999999999,1.0,0.0,60.01534999999999,60.01534999999999,0.0,-27.69463897783563,0.0
"hour_00#2023-02-20 00:00:00,2023-02-20 01:00:00",hour_00,2023-02-20 00:00:00,2023-02-20 01:00:00,0.0,60.01541666666666,60.01541666666666,-0.0,0.0,2.525056121009607e-28,1.0,0.0,0.0,60.01541666666666,1.0,-0.0,0.0,0.0,60.01541666666666,1.0,0.0,60.01541666666666,60.01541666666666,0.0,-27.597728964961583,0.0
"hour_00#2023-02-21 00:00:00,2023-02-21 01:00:00",hour_00,2023-02-21 00:00:00,2023-02-21 01:00:00,1508.0003449294716,30.016566666666666,30.016566666666666,-0.0,0.0,6.526332322950114e-07,0.5001477398578809,0.0,8.399822593551033,30.016566666666666,1.0,-0.0,0.0,4199.747966891754,30.016566666666666,1.0,0.0,30.016566666666666,60.0154,0.0,-6.1853308155697775,0.0
"hour_00#2023-02-22 00:00:00,2023-02-22 01:00:00",hour_00,2023-02-22 00:00:00,2023-02-22 01:00:00,2.106151560010435,28.015666666666664,28.015666666666664,-0.0,0.0,2.2992538077242514e-07,0.46680809336939455,0.0,4.38022006247977,28.015666666666664,1.0,-0.0,0.0,2336.0966822833593,28.015666666666664,1.0,0.0,28.015666666666664,60.01538333333332,0.0,-6.63841308562065,0.0
"hour_00#2023-02-23 00:00:00,2023-02-23 01:00:00",hour_00,2023-02-23 00:00:00,2023-02-23 01:00:00,638.7997590847091,30.016466666666663,30.016466666666663,-0.0,0.0,4.937088026663488e-07,0.5001460736188822,0.0,7.306523712053782,30.016466666666663,1.0,-0.0,0.0,3653.1319622720102,30.016466666666663,1.0,0.0,30.016466666666663,60.0154,0.0,-6.30652912938298,0.0
