local_segment,local_segment_label,local_segment_start_datetime,local_segment_end_datetime,phone_locations_doryab_timeattop1location,phone_locations_doryab_stdlengthstayatclusters,phone_locations_doryab_timeattop2location,phone_locations_doryab_locationvariance,phone_locations_doryab_locationentropy,phone_locations_doryab_numberlocationtransitions,phone_locations_doryab_movingtostaticratio,phone_locations_doryab_numberofsignificantplaces,phone_locations_doryab_varspeed,phone_locations_doryab_normalizedlocationentropy,phone_locations_doryab_avglengthstayatclusters,phone_locations_doryab_timeathome,phone_locations_doryab_minlengthstayatclusters,phone_locations_doryab_totaldistance,phone_locations_doryab_minutesdataused,phone_locations_doryab_homelabel,phone_locations_doryab_timeattop3location,phone_locations_doryab_outlierstimepercent,phone_locations_doryab_maxlengthstayatclusters,phone_locations_doryab_avgspeed,phone_locations_doryab_loglocationvariance,phone_locations_doryab_radiusgyration
"daily#2023-02-13 00:00:00,2023-02-13 23:59:59",daily,2023-02-13 00:00:00,2023-02-13 23:59:59,228.8331333333333,187.46518472681868,373.95014999999984,0.00022543803044364156,0.6838757711384199,2.0,0.7948997558038342,3.0,767.6292193506715,0.2279585903794733,201.5944166666666,226.83316666666667,1.9999666666666667,20231.795132576623,760.8295833333335,1.0,0.0,0.0,373.95014999999984,7.779149192576971,-3.6469728184646457,1505.725978763359
"daily#2023-02-14 00:00:00,2023-02-14 23:59:59",daily,2023-02-14 00:00:00,2023-02-14 23:59:59,696.0939500000019,244.16174446953428,280.97676666666695,0.00047269509391403055,1.024223776153428,11.0,0.7736561206920813,8.0,779.3978914485211,0.1280279720191785,138.0051875000003,694.0939833333351,1.9999666666666667,45361.98731777987,1439.9696500000043,1.0,0.0,0.008976178023316878,696.0939500000019,8.350668229451042,-3.325418905201045,2051.4421146697186
"daily#2023-02-15 00:00:00,2023-02-15 23:59:59",daily,2023-02-15 00:00:00,2023-02-15 23:59:59,1038.885100000002,550.0905163557921,199.9983000000002,0.00020765519125178262,0.4579417566831321,5.0,0.8631317574858216,3.0,439.65380064934243,0.1526472522277107,413.96111666666735,1034.8851666666685,2.99995,20757.272325452876,1439.9694166666688,1.0,0.0,0.0008045673367036314,1038.885100000002,6.319250545056262,-3.6826572073240422,1156.4433950962202
"daily#2023-02-16 00:00:00,2023-02-16 23:59:59",daily,2023-02-16 00:00:00,2023-02-16 23:59:59,872.9492166666686,410.80804571857016,288.98733333333297,0.00022812659184263883,0.5790349756798384,4.0,0.809000712642319,4.0,448.21149059353303,0.1447587439199596,291.2341250000004,868.9492833333352,0.9999833333333333,29604.535184572353,1439.9696833333362,1.0,0.0,0.0,872.9492166666686,6.4583920003629025,-3.641824087729041,1313.7087105366527
"daily#2023-02-17 00:00:00,2023-02-17 23:59:59",daily,2023-02-17 00:00:00,2023-02-17 23:59:59,1040.2877333333342,653.5781260992844,0.0,6.320905383243376e-05,0.3257685048900778,3.0,0.8050699910576824,2.0,512.1255326683753,0.1628842524450389,578.1382083333338,1040.2877333333342,115.9886833333333,30630.295915902276,1439.969666666668,1.0,115.9886833333333,0.0025877781056004123,1040.2877333333342,6.547422952219152,-4.19922071051749,615.9755720234426
"daily#2023-02-18 00:00:00,2023-02-18 23:59:59",daily,2023-02-18 00:00:00,2023-02-18 23:59:59,662.644900000003,368.557149065215,0.0,6.55954496993584e-05,0.29305214735492485,8.0,0.5053128783644711,3.0,761.5587675332615,0.09768404911830829,237.21322777777877,660.6449333333362,14.995216666666666,89155.45734251152,1439.9696000000013,1.0,0.0,0.021982856747970507,662.644900000003,7.509573193981837,-4.1831262862188625,798.4834745309114
"daily#2023-02-19 00:00:00,2023-02-19 23:59:59",daily,2023-02-19 00:00:00,2023-02-19 23:59:59,1436.9692166666687,0.0,0.0,2.0161208097715795e-10,-0.0,0.0,0.99791663367985,1.0,0.22342472061588883,-0.0,1436.9692166666687,1436.9692166666687,1436.9692166666687,67.26241529765483,1439.969200000002,1.0,0.0,0.0,1436.9692166666687,1.3452557795963165,-9.695483447700141,0.0
"daily#2023-02-20 00:00:00,2023-02-20 23:59:59",daily,2023-02-20 00:00:00,2023-02-20 23:59:59,878.9743666666684,449.5972477264821,261.96595000000053,0.00019582039511673144,0.5601666714759642,4.0,0.7958085462096225,3.0,605.6568725185572,0.18672222382532142,381.64675000000074,877.974383333335,3.9999333333333333,43722.72055372466,1439.9697500000036,1.0,0.0,0.000872631315530793,878.9743666666684,8.922108443274132,-3.7081420774696783,1278.8689677082066
"daily#2023-02-21 00:00:00,2023-02-21 23:59:59",daily,2023-02-21 00:00:00,2023-02-21 23:59:59,423.9805166666667,222.16499402359722,418.9885500000005,0.0002278430300768662,0.8934244851442241,6.0,0.622907517703316,5.0,831.9911390432534,0.17868489702884482,178.9936800000001,422.98053333333337,1.9999666666666667,71264.08650671672,1439.9703666666692,1.0,0.0,0.0022296958744475927,423.9805166666667,7.874455693354733,-3.642364252336986,1477.0372641989825
"daily#2023-02-22 00:00:00,2023-02-22 23:59:59",daily,2023-02-22 00:00:00,2023-02-22 23:59:59,426.98148333333376,240.50319349284516,414.9418499999996,0.00024480574576890064,0.7499518370624957,5.0,0.5916256151762789,4.0,364.7189821355471,0.18748795926562392,212.73079583333333,426.98148333333376,1.9999666666666667,54078.829037986885,1439.9700500000013,1.0,0.0,0.0011737952111878617,426.98148333333376,5.517807906550786,-3.6111783931995003,1551.8681410767501
"daily#2023-02-23 00:00:00,2023-02-23 23:59:59",daily,2023-02-23 00:00:00,2023-02-23 23:59:59,617.9721666666667,280.761809208341,298.9942333333338,0.00021580657957375677,0.8368289240002355,5.0,0.6770736359853459,4.0,668.5476633289966,0.20920723100005886,243.74140833333345,617.9721666666667,4.999916666666667,56020.20334431584,1439.9698666666686,1.0,0.0,0.0,617.9721666666667,7.228347528289062,-3.6659353185547965,1461.1434946563131
"daily#2023-02-24 00:00:00,2023-02-24 23:59:59",daily,2023-02-24 00:00:00,2023-02-24 23:59:59,972.9756500000013,382.0397092741466,0.0,0.0001659255174465469,0.7148756382983754,9.0,0.8722189353742148,6.0,516.8276001693096,0.11914593971639591,207.6615638888891,972.9756500000013,2.99995,23604.548540082338,1439.9701333333383,1.0,198.99825000000024,0.007961845880166386,972.9756500000013,7.6970970474600415,-3.7800868193159958,1068.587807262334
"daily#2023-02-25 00:00:00,2023-02-25 23:59:59",daily,2023-02-25 00:00:00,2023-02-25 23:59:59,881.2677833333347,421.72572436740904,0.0,0.0006899247261987582,0.4592923528232705,6.0,0.6973991283243113,4.0,462.3579252502798,0.11482308820581763,249.80844166666702,879.267816666668,3.9999333333333333,46620.57939690559,1439.9698000000028,1.0,0.0,0.004978837843867707,881.2677833333347,6.419561419909087,-3.1611982901030515,2642.1713844829806
"daily#2023-02-26 00:00:00,2023-02-26 23:59:59",daily,2023-02-26 00:00:00,2023-02-26 23:59:59,767.9746000000005,0.0,0.0,7.295253384064526e-08,-0.0,0.0,0.5333272498681917,1.0,93.25781445081896,-0.0,767.9746000000005,767.9746000000005,767.9746000000005,34353.44939525156,1439.9688000000006,1.0,0.0,0.0,767.9746000000005,3.0672987411425474,-7.136959619275677,0.0
